 player                   ,ipl_debut , specialization      , date_of_birth , total_no_of_matches_in_ipl 
,,,,
Aaron Hardie             ,      NULL , All rounder         , 1989-01-07    ,0
 Abdul Samad              ,2020, All rounder         , 2001-10-28    ,63
 Abhinandan Singh         ,      NULL , Bowler              , 1997-03-30    ,0
 Abhinav Manohar          ,2022, Batter              , 1994-09-16    ,27
 Abhishek Sharma          ,2018, All rounder         , 2000-09-04    ,77
 Abishek Porel            ,2023, Wicketkeeper Batter , 2002-10-17    ,31
 Aiden Markram            ,2021, Batter              , 1994-10-04    ,57
 Ajay Mandal              ,      NULL , All rounder         , 1996-02-25    ,0
 Ajinkya Rahane           ,2008, Batter              , 1988-06-06    ,198
 Akash Deep               ,2022, Bowler              , 1996-12-15    ,14
 Akash Madhwal            ,2023, Bowler              , 1993-11-25    ,17
 Akash Singh              ,2021, Bowler              , 2002-04-26    ,10
 Amrich Nortje            ,2020, Bowler              , 1993-11-16    ,48
 Andre Russell            ,2012, All rounder         , 1988-04-29    ,140
 Andre Siddarth           ,      NULL , Batter              , 2006-08-28    ,0
 Angkrish Raghuvanshi     ,2024, Batter              , 2005-06-05    ,22
 Aniket Verma             ,2025, Batter              , 2002-02-05    ,14
 Anshu Kamboj             ,2024, All rounder         , 2000-12-06    ,11
 Anuj Rawat               ,2021, Wicketkeeper Batter , 1999-10-17    ,24
 Anuku1 Roy               ,2019, All rounder         , 1998-11-30    ,12
 Arjun Tendulkar          ,2023, Bowler              , 1999-09-24    ,5
 Arshdeep Singh           ,2019, Bowler              , 1999-02-05    ,82
 Arshin Kulkarni          ,2024, All rounder         , 2005-02-15    ,2
 Aryan Juyal              ,      NULL , Wicketkeeper Batter , 2001-11-11    ,0
 Ashok Sharma             ,      NULL , Bowler              , 2002-06-17    ,0
 Ashutosh Sharma          ,2024, All rounder         , 1998-09-15    ,24
 Ashwani Kumar            ,2025, Bowler              , 2001-08-29    ,7
 Atharva Taide            ,2023, Batter              , 2000-04-26    ,10
 Avesh Khan               ,2017, Bowler              , 1996-12-13    ,76
 Axar Patel               ,2014, All rounder         , 1994-01-20    ,162
 Ayush Badoni             ,2022, All rounder         , 1999-12-03    ,56
 Ayush Mhatre             ,2025, Batter              , 2007-07-16    ,7
 Azmatullah Omarzai       ,2024, All rounder         , 2000-03-24    ,16
 Bevon Jacobs             ,      NULL , Batter              , 2002-05-06    ,0
 Bhuvneshwar Kumar        ,2011, Bowler              , 1990-02-05    ,190
 Blessing Muzarabani      ,      NULL , Bowler              , 1996-10-02    ,0
 Charith Asalanka         ,      NULL , Bowler              , 1997-06-29    ,0
 Chetan Sakariya          ,2021, Bowler              , 1998-02-28    ,20
 Darshan Nalkande         ,2022, All rounder         , 1998-10-04    ,6
 Dasun Shanaka            ,2023, All rounder         , 1991-08-09    ,3
 David Miller             ,2012, Batter              , 1989-06-10    ,141
 Deepak Chahar            ,2016, Bowler              , 1992-08-07    ,95
 Deepak Hooda             ,2015, All rounder         , 1995-04-19    ,125
 Devon Conway             ,2022, Batter              , 1991-07-08    ,29
 Dewald Brevis            ,2022, Batter              , 2003-04-29    ,16
 Dhruv Jurel              ,2023, Wicketkeeper Batter , 2001-01-21    ,42
 Digvesh Singh            ,2025, Bowler              , 1999-12-15    ,13
 Donovan Ferreira         ,2024, Wicketkeeper Batter , 1998-07-21    ,3
 DUshmantha Chameera      ,2022, Bowler              , 1992-01-11    ,19
 Eshan Malinga            ,2025, Bowler              , 2001-02-04    ,7
 Faf du Plessis           ,2012, Batter              , 1984-07-13    ,154
 Fazalhaq Farooqi         ,2022, Bowler              , 2000-09-22    ,12
 Gerald Coetzee           ,2024, Bowler              , 2000-10-02    ,14
 Gurnoor Singh Brar       ,2023, Bowler              , 2000-05-25    ,1
 Hardik Pandya            ,2015, All rounder         , 1993-10-11    ,152
 Harnoor Pannu            ,      NULL , Batter              , 2003-01-30    ,0
 Harpreet Brar            ,2019, All rounder         , 1995-09-16    ,49
 Harsh Dubey              ,2025, All rounder         , 2002-07-13    ,3
 Harshal Patel            ,2012, All rounder         , 1990-11-23    ,119
 Harshit Rana             ,2022, Bowler              , 2001-12-22    ,34
 Heinrich Klassen         ,2018, Wicketkeeper Batter , 1991-07-30    ,49
 Himmat Singh             ,2025, Batter              , 1996-11-08    ,2
 Ishan Kishan             ,2016, Wicketkeeper Batter , 1998-07-18    ,119
 Ishant Sharma            ,2008, Bowler              , 1988-09-02    ,117
 Jamie Overton            ,2025, All rounder         , 1994-04-10    ,3
 Jasprit Bumrah           ,2013, Bowler              , 1993-12-06    ,145
 Jayant Yadav             ,2015, All rounder         , 1990-01-22    ,20
 Jaydev Unadkat           ,2010, Bowler              , 1991-10-18    ,112
 Jitesh Sharma            ,2022, Wicketkeeper Batter , 1993-10-22    ,55
 Jofra Archer             ,2018, Bowler              , 1995-04-01    ,52
 Jonny Bairstow           ,2019, Wicketkeeper Batter , 1989-09-26    ,52
 Josh Hazlewood           ,2020, Bowler              , 1991-01-08    ,39
 Josh Inglis              ,2025, Wicketkeeper Batter , 1995-03-04    ,11
